,K,logP,e,w,num_of_planets
0,303472.3506,5.787156747,-0.232263867,-14.05932666,1
1,29.03667039,6.308053802,0.173182271,-1448.230952,1
2,119.4919251,6.905409138,0.076306891,2.868324258,1
3,50.96987057,6.164652879,-0.034049343,-4.516014017,0
4,33.62696669,6.114899366,-0.185365605,-0.094277905,0
5,113.9501761,1.769150721,0.468722586,-21.37423289,0
6,272.7859897,5.814400021,0.289170511,5.348453806,1
7,118.7040633,6.174272096,-0.506925632,0.523011442,1
8,46.10292861,7.006461321,0.153651593,1699.295251,2
9,53.57414649,7.0037507,0.09692842,11.51357487,2
10,37.503778,6.825963901,0.206440011,1604.68099,2
11,49.54090262,7.010285999,0.068533562,-13.73842456,2
12,47.51387927,6.980774283,0.063460117,-1.074378293,2
13,50.75844541,6.982956914,-0.046113067,-16.30852642,2
14,55.87701818,1.442374691,0.012517314,-5.303058598,1
15,55.59844781,1.443188317,0.02025466,0.087695672,1
16,43.2821712,3.508422057,-0.847021889,207.3280797,1
17,15.2150127,4.130965037,-0.569463527,76.35572964,0
18,16.30201036,4.130315792,0.647658302,142.2931955,0
19,69.75246806,2.684522993,-0.159303144,98.33371001,2
20,71.64729723,2.684581409,0.031657031,-319.7841868,2
21,74.44600908,2.684440645,0.066047248,18.11941309,2
22,69.59995531,2.687032207,-0.018385198,5.054570862,2
23,46.64963521,3.453891721,-0.369975119,-67.60520869,2
24,36.20597012,6.801533551,0.135152385,-37.24022116,1
25,5.461708613,5.250956408,-0.327492504,-605.2214228,2
26,2.869116266,3.874761355,-0.15732982,-174.8305013,2
27,44.53743254,6.638857511,0.134185498,0.248939228,1
28,316.7911805,4.759502272,0.401875698,-50.29006333,1
29,314.1130843,4.759514995,0.397135722,-0.010408332,1
30,38.09238113,6.540318765,-0.116706457,-0.262133488,1
31,11.84476065,4.324619723,-0.246759054,-159.4116434,0
32,62.79860243,6.859056659,-0.20620592,25.04691436,1
33,5.767122381,3.697828724,0.448706801,189.2267581,0
34,40.22491994,5.941605231,-0.146502027,124.1933746,0
35,50.33625814,5.578170819,0.328640075,20.09839713,0
36,13.62813351,5.465644073,-0.208931404,-51.04281897,0
37,53.3713068,2.595314377,0.461200669,33.96854718,0
38,63.59891529,3.531745284,-0.754635917,86.36548598,0
39,147.5124599,6.307414858,-0.436708724,-31.63121491,0
40,44.75843631,6.391301805,0.011125446,-191.6457661,0
41,307.3070128,3.404989377,0.688180053,0.128469591,0
42,43.27351391,2.656220422,0.472518272,0.25047502,0
43,44.849165,6.370858108,-0.090878508,-8.638583975,0
44,35.73039553,6.502751033,-0.195534208,7.902792766,0
45,258.1468663,2.652064056,0.787219598,1.631642341,1
46,550.0134958,0.563785516,0.141818157,0.687588332,1
47,607.3764884,0.550932445,0.121165448,-0.791063835,1
48,664.6655391,4.918330626,0.682026931,-39.38169029,1
49,216.3355054,4.829927914,0,0,1
50,250.9028532,4.850124329,0.961508103,106.330319,0
51,128.3615779,6.035054274,0.062607738,-4.367199027,0
52,34.04548719,4.031560167,0.940651755,132.7772363,0
53,17.4451556,7.825167562,-0.122490059,-420.4040826,0
54,26.41966838,4.046315401,-0.46098238,-254.3875498,0
55,35.85708871,6.061284464,-0.104386134,25.80712643,0
56,95.81285173,6.388484454,-0.150532554,-1.491781343,0
57,208.2608781,6.060332902,-0.143600542,-81.21533858,0
58,1540.961591,8.920519356,-0.478967585,1.243644151,0
59,504.3254945,8.506418895,0.01928342,20492.38276,0
60,12.06042491,0.452450364,0.174996124,-1.6671002,1
61,10.75904305,5.104483409,0.702787545,-661.489511,0
62,17.06205117,3.950878519,-0.624566361,-38.02503136,0
63,5.477601331,3.685188987,0.506765728,-56.88990147,0
64,74.9604925,6.35985796,-0.908624349,6.766836711,1
65,26.167974,7.740379851,-0.200609166,-8334.707822,1
66,166.8797565,4.895733751,0.513828998,17.64294862,1
67,83.85731091,6.509044569,0.394390456,0.621353986,2
68,41.8868236,8.310756156,0.276500559,-1.189311972,1
69,5.227138146,4.889604979,-0.246301539,399.4245343,1
70,30.42452934,6.55880206,-0.872652583,0.83349508,1
71,5.276025635,1.871629027,0.726164566,-14.27327137,1
72,10.57928183,2.867607734,0.797481865,-124.8517745,1
73,12.88981459,5.358171865,0.718043258,76.64931787,1
74,8.300807606,5.335618287,0.294796576,43.82367218,1
75,12.75447632,1.680579737,0.012671176,-4.368134293,2
76,13.29888656,6.400504547,0.313857734,-18.73208447,1
77,7.578990306,3.548067685,0.094666258,-91.32425553,1
78,133.1842656,6.981914627,0.30079935,1.658610436,2
79,204.6690272,5.338850137,-0.790506195,-2073.708644,0
80,17.87672549,8.221198271,0.390834129,0.268027583,0
81,15.00054087,8.13056188,-0.173412343,2.269330334,2
82,28.52279059,7.40935851,0.753079823,-302.3308926,1
83,332.2700092,4.112175864,0.309520778,-11.54651591,1
84,636.9447985,3.528227762,-0.700650201,-14.11203411,1
85,212.5677497,4.109211462,-0.158095645,108.0326831,2
86,237.6720543,4.108706048,0.234308936,-6.500935301,2
87,226.1577938,4.109225109,0.204818396,63.27391266,2
88,216.712926,4.109290534,-0.137953932,-24.09713559,2
89,13.15312901,4.049697407,-0.363852911,-18.26055144,0
90,9.298398104,2.17672429,0.699931934,5.025337862,0
91,745.6937617,1.385919891,0.047751065,-1.132912272,0
92,1355.113324,7.785364891,-0.999971339,2.473564935,0
93,20.36017556,0.398268225,0.805058474,-15.83893926,1
94,59.81870331,1.496293821,-0.099519111,-8.224371078,1
95,67.48015566,1.27650102,-0.394173005,0.805704007,1
96,5676.978203,2.411110326,-0.786260112,-56.45587889,1
97,124.8372346,1.500452083,0.421858778,-15.49768318,1
98,129.7062564,2.32203057,0.450641079,122.4597272,1
99,176.7178255,1.026594667,0.330969049,-6.502378382,1
100,99.53204863,3.49868331,0.222086378,-5.301638526,1
101,208.6466585,0.787360122,-0.013553566,0.237329874,1
102,274.6745929,2.94741603,-0.948257253,67.66862274,1
103,222.6003939,1.391678476,-0.34948227,5.957700778,1
104,48.36946245,5.057596697,0.128378855,-14.04952535,1
105,34.88105016,5.058968713,-0.089375772,-7.268656188,1
106,34.9036122,5.949852241,0.358257102,-964.0734313,1
107,18.07396322,4.255106086,0.109153006,161.4647401,1
108,12.9467225,3.702499409,0.60303999,165.9603624,1
109,10.23188634,3.029064704,-0.016517379,-11.31167545,1
110,14.02807438,3.704830679,0.566252949,159.4471737,1
111,64.41326466,1.411923102,-0.125022615,-0.845750859,1
112,4361.017803,3.716791411,0.930182841,-2.799879639,1
113,65.59966872,1.454246007,-0.097567261,-1.787319843,1
114,19.66185202,4.34764566,0.999765803,799.2294849,1
115,4.588005305,3.093605563,-0.930776181,241.2954494,0
116,26.82144891,2.928014506,0.945794964,12.96587019,0
117,12.81243513,5.094216691,0.532903132,0.62905559,0
118,160.8852361,5.289204857,0.027571537,-145.4659654,1
119,166.870069,5.295841104,0.090269969,-21.57947299,1
120,160.042985,6.97487817,0.099770304,152.1242395,1
121,160.5967935,6.972921255,0.115030107,-42.61239791,1
122,146.7016501,7.37624027,0.471932494,2581.204499,1
123,143.1933002,7.467005281,0.495444321,-1.019242456,1
124,100.8927274,7.305933177,-0.1391877,-2.689559643,1
125,18.89801081,6.912592863,0.153551211,-13.09282121,1
126,114.9049779,6.980803672,-0.099306016,5.080160777,1
127,119.3387023,6.977380005,0.12158736,1.962931942,1
128,111.3669912,6.919604574,-0.100394637,-1.44178501,1
129,115.929257,6.980826249,-0.090792672,5.161715008,1
130,1.373949896,4.163078421,0.525966071,-111.4908516,0
131,2.774018105,2.684656646,0.195548639,-30.04281276,0
132,6.457392681,13.16059321,-0.97243228,-0.624698433,0
133,7.762712404,3.318195132,0.482532894,223.6025794,0
134,11.41753846,3.872878886,0.15502736,-28.38756335,1
135,5.904177219,4.688025786,-0.598459389,82.25550424,0
136,34.20989662,4.898770506,0.955796187,-756.3540229,0
137,15.47842275,3.791035403,-0.408309402,1.061044338,1
138,35.64916567,2.388888734,0.498176869,-0.718267029,1
139,41.3152629,6.016105169,-0.026046071,503.8638086,2
140,35.72444327,5.97724985,-0.056355833,-9.144366564,2
141,14.68226346,5.254957459,-0.241562427,-16.72074749,2
142,34.12965255,5.979856865,0.088074082,-40.1693384,2
143,4.440059738,8.026037619,-0.499758743,-41085.13608,0
144,23.12430299,4.522378399,0.924411872,-96.85781283,0
145,49.80582183,2.395954333,0.772539642,0.335274794,1
146,159.4826345,7.041576437,-0.200888592,-7.724230629,1
147,160.6428878,7.028920459,0.195712791,1.529895253,1
148,34.33001475,6.84403599,0.231037816,-190.002892,1
149,9.538064715,5.709965452,0.687154187,12.00628976,1
150,16.10996184,5.946921241,0.540738997,207.9171023,0
151,25.58590479,5.832445771,-0.153030242,-63.49745187,0
152,18.14628704,7.03442845,-0.325205937,-1.872995866,1
153,18.88423601,7.018189808,-0.178200032,-7.765432983,1
154,615.3117926,4.429485198,-0.336276394,50.64585472,1
155,616.9610538,4.429749461,-0.379926718,0.345372858,1
156,30.89960876,6.213665598,0.090188653,7.521345015,2
157,27.24945819,6.215872716,0.103655181,-4.576847117,2
158,31.81726712,6.878476788,-0.620176563,-1.539664757,2
159,89.46319571,7.268646342,-0.425691386,-1091.69636,2
160,32.01772941,5.45795742,0.408559139,-0.459054918,0
161,52.99893449,4.715139548,-0.696270587,-99.55732484,0
162,2.534673537,3.640419332,0.354166986,352.4769934,0
163,7.427423602,8.572152345,0.113949453,-3413.514621,0
164,14.15918113,3.900478416,0.067951999,-58.23330595,0
165,316.1486987,4.759490007,0.400593835,-0.016407274,0
166,313.5172596,4.759551325,0.397385693,-0.044713112,0
167,313.5161622,4.759420583,0.397526474,-144.5385883,0
168,26.41364913,7.862303696,0.149001816,1.215212099,1
169,30.10970936,7.898734027,-0.146448103,-1.628608165,1
170,12.46959801,3.251329301,0.382752085,-27.01466799,1
171,11.50810582,3.249760369,0.355633289,-20.54113269,1
172,214.0433229,1.813656964,-0.297712494,-6.721733462,1
173,10.53163974,7.606957435,-0.144985486,-1.185309877,2
174,9.020586152,7.603528552,0.09186761,-218.3135562,2
175,116.9676128,7.643290473,0.852168884,-3.962413527,1
176,234.8027245,4.279983117,0.459534834,-1135.46971,0
177,317.6888177,5.967634971,0.374308303,-1040.776461,0
178,55.8435367,4.148387604,-0.032478633,-17.40267728,1
179,85.05724728,6.224652662,0.411912886,0.564802227,2
180,76.68465711,5.571908658,0.313213837,-1.417131484,2
181,83.82735517,5.577381033,0.205947572,86.07432314,2
182,85.43064486,5.547259893,-0.273608763,-254.7074457,2
183,90.87309222,5.579914952,0.40910299,4.602504453,2
184,74.43530369,5.58244743,0.259797108,149.1665297,2
185,78.20333585,5.56830148,0.339933016,-434.8940205,2
186,82.44836725,5.576030821,0.221256954,-491.8314198,2
187,411.1783506,10.66237366,0.994896546,2.891102365,0
188,83.99485575,6.241871242,0.370318192,5.144928499,2
189,97.89235051,6.822211468,0.485742696,459.5617945,2
190,108.8758769,6.826314257,0.441200509,0.993587914,2
191,38.18340907,7.518409483,0.704767291,9955.427319,1
192,184.3539642,4.372261626,0.850968053,-44.18376338,1
193,115.6293386,2.372526315,0.049375942,16.1913958,1
194,108.4629897,2.371002274,0.018537637,-7.811706377,1
195,359.4792624,7.57619089,-0.637521997,-0.528426144,1
196,105.9563149,6.88395108,-0.32174951,0.739267743,1
197,26.12635868,7.345065845,-0.218587289,-6.588053542,0
198,346.3319231,5.062454501,0.402175566,-683.8971642,0
199,53.71876412,5.578267642,0.376862277,-0.25710413,2
200,49.82102681,5.559831774,0.252373693,-18.85147992,2
201,50.13635188,5.551249641,0.212512614,-12.63724642,2
202,52.3250927,5.552751209,0.24487265,-18.93012106,2
203,49.41112025,5.553352227,0.19611557,-6.490758065,2
204,50.1955098,5.559143683,0.236643317,-0.112664817,2
205,212.8143725,7.083768638,0.352108709,-0.84856258,0
206,212.0879706,7.098210458,0.366496267,-0.783195125,0
207,210.4236543,7.112350673,0.352823627,18.05836361,0
208,215.0524912,6.966200317,-0.316003166,-6723.340592,0
209,8.213033423,5.176210525,0.449622415,-6.591373468,2
210,42.0581802,6.147670444,-0.174575104,-3.064866376,1
211,951.4087627,7.192704134,-0.297164786,-8702.003427,0
212,161.171186,7.028009402,0.109338983,-8.392196867,1
213,5.122411885,4.799047565,0.266729826,-187.5714101,0
214,5.126179507,0.987816868,-0.485007448,4.159710907,0
215,13.50222789,9.473836121,-0.538934454,0.381904649,0
216,674.3583285,4.949602525,0.976267776,-370.9219156,0
217,234.5243399,6.481931963,-0.41381905,132.0817179,1
218,97.42573914,7.560263446,-0.55156139,131.7985291,0
219,10.02246894,3.581289659,-0.264053415,-17.99799006,0
220,14.83896451,6.80201009,0.501883856,-2620.333793,0
221,26.70909661,8.376926653,-0.279977849,2439.847846,0
222,57.45351774,5.902034569,0.54769946,-2.446829542,0
223,833.8697091,7.955825167,-0.996679572,0.465071465,2
224,29.54838594,5.824774809,0.371322692,327.9711866,2
225,55.11129112,5.807807267,0.930826893,-1.729424692,1
226,62.97188076,6.990154642,-0.177538915,100.6583542,1
227,242.7328626,4.644011537,-0.306985865,219.1761352,1
228,71.74075679,5.166256303,0.135677027,-7.215956057,1
229,3.474332259,3.175620212,-0.401888487,-39.49798665,2
230,2.688326725,1.720658043,-0.256392611,14.13909392,2
231,7.468548361,7.794146208,-0.347999126,-4.776729706,0
232,5.158438595,3.872558598,0.208217675,176.2247111,0
233,1120.387962,1.728356278,0.627679835,-21.71060789,0
234,529.2197361,2.016700705,-0.428496747,-11.53749993,0
235,1205.556822,2.54348365,-0.702582827,-5.9125506,0
236,976.7129311,1.730360669,-0.517763262,0.171955781,0
237,29.31264664,6.269309723,-0.259749818,14.35445778,1
238,27.19632825,5.804052288,-0.131553391,-4.574768487,1
239,353.5242458,3.273297324,0.797375824,-87.68224137,1
240,51.44325812,1.810681182,0.714176618,14.29986263,1
241,163.5835237,1.408119751,-0.079355673,3.888171796,1
242,416.2024403,1.900896084,0.79571715,0.132130045,1
243,856.8007273,0.222076759,-0.273170355,0.497322938,0
244,11.36485051,5.016887057,0.424099237,-37.86510332,0
245,12.03423087,3.810902541,-0.38733837,-44.45811592,0
246,8.472625983,5.560397785,0.991175158,-2382.29447,0
247,74.6657083,7.647953091,0.667430266,5.740911713,1
248,69.15641654,6.213455953,0.343531539,-26.03732249,1
249,14.61339006,8.100060903,-0.162000714,0.297775674,1
250,276.0466386,3.78851612,-0.018788321,-155.2296645,1
251,52.78661775,3.418333665,0.243983816,-69.93467405,2
252,44.17006883,6.013112026,0.58864152,-62.19125223,2
253,30.99374432,5.266803118,0.158857895,-78.97090716,2
254,32.46232634,5.271086056,0.230719463,-192.7561347,2
255,576.7621184,4.87629146,0.704729125,-26.8039796,2
256,3.003003534,5.945048944,0.621633612,-32.3427747,0
257,3.289133451,0.107969172,-0.567756464,-0.728744429,0
258,9.623429045,4.792934032,-0.776456366,95.72688647,0
259,15.77445318,4.511372459,-0.416192467,120.485782,0
260,33.53230798,7.249181302,-0.183318998,0.040435357,2
261,53.69156172,6.611163952,-0.624642865,2.181867128,2
262,44.52440879,6.541055073,-0.286890599,1.817365463,2
263,39.74906029,6.492203219,-0.172190113,1.828840238,2
264,10.77811405,4.328352226,-0.277211542,-65.25017119,1
265,35.51673421,5.980867272,-0.603242598,0.933876321,0
266,94.59145133,6.897223909,-0.59863295,358.8636336,1
267,817.9513793,9.364121259,-0.406023115,1.511443539,0
268,66.79770609,5.508869549,0.629111316,6.969638505,0
269,2991.445945,11.20479212,0.273065162,-0.814940068,0
270,1809.940424,2.13158444,0.276856752,-24.63345697,1
271,52.98133018,4.32564094,-0.733191341,-252.6668973,2
272,6.099569311,5.790440348,-0.633963291,-3241.620018,1
273,235.3568489,2.822820535,0.947262128,-147.5195978,1
274,2229.296491,4.687225388,0.551421488,-0.053834822,0
275,80.42973038,6.47232924,0.606232645,-5.410802669,1
276,7.652989642,7.046947068,-0.095876874,-5.983298308,2
277,55.42559966,5.372252885,0.61383426,19.036767,0
278,18.10724938,5.167138162,0.174480256,-300.4261237,0
279,32.66290627,6.023023418,-0.028811781,-3.130929077,1
280,33.31049762,6.034747447,-0.102330785,23.40421008,1
281,408.2359746,6.141924144,-0.067811151,0.909726446,0
282,407.6645847,6.146060241,0.086757436,-2.034811308,0
283,416.0846713,6.151885408,0.104915765,105.0922596,0
284,438.0838937,4.061114868,-0.542547298,-6.428116119,2
285,1224.586018,4.058022384,-0.769983777,68.91002251,2
286,481.5256573,4.077346274,0.449445232,-39.71846604,2
287,466.7327127,4.062504969,-0.431298151,0.051158554,2
288,680.7899784,7.352288876,-0.51531709,-633.9462244,2
289,426.5326934,4.06091514,-0.538512025,175.8272545,2
290,11.5006837,2.926895362,0.816354847,-38.14948236,0
291,10.19679889,6.630193265,0.130710538,-3769.608617,0
292,11.64792897,12.46435307,-0.927206506,-1.648944722,0
293,15.67962284,4.291612655,0.881138539,0.300964316,0
294,29.48283241,4.827039501,0.344685504,-187.6194625,1
295,26.93674871,1.856832363,0.080869593,6.565372639,1
296,1034.232023,5.680685258,-0.487292873,-0.115833239,0
297,83.05495,5.435563776,-0.349823083,0.04019519,2
298,12.01985198,7.041378665,0.124280491,-5.700447766,1
299,63.26394451,5.741495092,0.150099973,11.67783677,0
300,545.8218018,4.046480838,0.929481701,-5.932399221,1
301,76.12154248,0.512879607,0.177058616,-0.415381591,1
302,25.26301396,5.520118569,0,0,1
303,47.66605196,4.416050042,-0.090236839,-0.057299657,1
304,159.8243599,3.055184487,0.472938951,-42.13420777,1
305,184.9565679,2.336908788,-0.514794086,-0.971847275,1
306,119.8235377,0.217259435,-0.034404885,-0.660019766,1
307,276.7684645,3.054847187,0.681154372,-110.9772017,1
308,184.9638003,2.337058728,-0.514781471,-0.971536977,1
309,2.539442905,5.230958682,0.404742103,-678.3235052,0
310,51.44056543,5.779975811,-0.201982565,32.74551769,1
311,60.75175738,5.736607057,0.389074627,3.954243663,1
312,1859.672687,5.910849403,0.842019372,-2.786114471,0
313,139.7183088,7.571459564,0.36466408,-38.26383658,0
314,161.972196,7.162688092,-0.54168607,-499.8178269,1
315,14.04540555,5.694845567,-0.308722464,-6.302981683,1
316,32.72672715,6.017136199,0.09375717,-9.202901454,2
317,33.0568079,5.9696001,0.403200489,-12.38554152,2
318,347.386531,4.269793442,-0.137780332,-0.135117685,0
319,343.9132256,4.26928727,-0.115903024,-0.233249884,0
320,339.2929094,4.269166325,0.122455512,-22.182824,0
321,6.500560747,2.672604432,-0.107062526,28.45703126,1
322,250.9028532,4.850124329,0.961508103,106.330319,0
323,5.999860208,2.806739987,0.997360076,-70.41302346,1
324,79.73439406,5.151326863,0.131031032,121.8134521,1
325,91.76437206,6.180582556,-0.496465164,1.431950942,1
326,111.3691236,4.935561524,0.160119661,781.2705293,1
327,338.3638632,5.988720728,0.251748728,-0.978031546,1
328,31.00462779,6.175085171,0.082705887,23.68332592,1
329,52.27509319,6.498067453,0.176112301,-1.208974512,1
330,19.86781341,7.027216899,0.147459488,0.21295689,2
331,5.082685438,5.272838895,0.397433435,18.69532041,0
332,3.03380622,3.417800804,-0.020186598,-70.49256836,0
333,3.03380622,3.417800804,-0.020186598,-70.49256836,0
334,3.03380622,3.417800804,-0.020186598,-70.49256836,0
335,77.33397102,6.490219531,-0.483291228,-24.33031037,2
336,104.8132769,6.453477893,-0.490743476,0.698113783,2
337,1111.264557,6.541098394,0.667634401,-41.68499168,0
338,3.13877181,5.953734916,-0.479627734,-5533.500471,0
339,3.13877181,5.953734916,-0.479627734,-5533.500471,0
340,3.13877181,5.953734916,-0.479627734,-5533.500471,0
341,8.870777491,3.59671723,-0.801843814,-98.49659789,0
342,8.870777491,3.59671723,-0.801843814,-98.49659789,0
343,8.870777491,3.59671723,-0.801843814,-98.49659789,0
344,337.8115041,3.407516941,-0.774451711,6.576287001,1
345,91.15470421,1.922717772,-0.215183187,-12.37678619,1
346,64.30558753,5.581594958,-0.565631855,16.91822409,0
347,64.30558753,5.581594958,-0.565631855,16.91822409,0
348,64.30558753,5.581594958,-0.565631855,16.91822409,0
349,15.07561234,6.974052482,-0.106802944,-0.278967259,1
350,54.59253816,2.886996838,-0.777466508,134.2780542,2
351,39.59016633,3.06918827,0.311590788,-44.16246203,2
352,56.52368285,2.838232709,-0.806223963,-48.32501887,2
353,22.72394405,7.831486668,0.403959862,-40374.78908,0
354,22.72394405,7.831486668,0.403959862,-40374.78908,0
355,22.72394405,7.831486668,0.403959862,-40374.78908,0
356,37.65723801,6.130388994,-0.119011865,-24.22455669,1
357,40.50063937,6.155406318,-0.241478594,-23.90686277,1
358,6.991748146,4.180029429,0.325942134,50.41297046,0
359,6.991748146,4.180029429,0.325942134,50.41297046,0
360,6.991748146,4.180029429,0.325942134,50.41297046,0
361,5.643938699,0.628670758,0.607149973,7.328720962,0
362,5.643938699,0.628670758,0.607149973,7.328720962,0
363,5.643938699,0.628670758,0.607149973,7.328720962,0
364,19.05423247,10.81737184,-0.931133938,12.60161941,0
365,19.05423247,10.81737184,-0.931133938,12.60161941,0
366,19.05423247,10.81737184,-0.931133938,12.60161941,0
367,15.35999468,5.09881719,0.939196839,-633.1247724,0
368,15.35999468,5.09881719,0.939196839,-633.1247724,0
369,15.35999468,5.09881719,0.939196839,-633.1247724,0
370,34.85014878,3.68461814,-0.230719853,-156.2062531,0
371,13.05248547,0.923375162,0.232025456,-26.25699948,1
372,139.8778363,1.68184469,0.534583624,13.8280712,1
373,90.7630918,7.042972654,0.499984447,-35.9394257,0
374,161.0657756,9.913635442,0.268654754,-78093.38219,2
375,24.59619684,7.98649051,0.312992687,6.734920669,2
376,36.31542255,6.945250028,-0.175549201,-5.358529914,1
377,808.4307566,4.216972444,0.158053112,0.093869224,0
378,34.42764071,4.310169484,-0.201777094,151.2521333,1
379,60.21498464,3.192422352,0.017888607,-19.96380912,1
380,68.2771206,3.192879732,-0.219034889,18.37933245,1
381,2.933948131,4.31319905,-0.161634546,-100.8981526,2
382,51.47043141,5.863412822,0.148431437,57.48222172,1
383,1.870323963,3.33238638,0.33664802,0.827566,0
384,1.870323963,3.33238638,0.33664802,0.827566,0
385,1.870323963,3.33238638,0.33664802,0.827566,0
386,9.161295318,3.924893384,0.284533,-0.49946339,0
387,9.161295318,3.924893384,0.284533,-0.49946339,0
388,9.161295318,3.924893384,0.284533,-0.49946339,0
389,12.07563713,10.84160414,0.902534921,27.41336437,0
390,12.07563713,10.84160414,0.902534921,27.41336437,0
391,12.07563713,10.84160414,0.902534921,27.41336437,0
392,21.56053625,4.353589697,-0.603789401,232.5850658,0
393,21.56053625,4.353589697,-0.603789401,232.5850658,0
394,21.56053625,4.353589697,-0.603789401,232.5850658,0
395,223.2239458,4.273419047,0.409612973,149.8961825,1
396,265.4945976,2.901568273,-0.008519424,11.98205696,1
397,240.2162061,2.877146756,-0.185335791,-0.045678929,1
398,337.2668619,4.06588756,-0.53041545,0.426554007,1
399,272.419581,2.901415198,0.018387521,-8.602170245,1
400,239.1162987,3.968320516,0.139742149,-67.31252306,1
401,50.46529898,7.229805488,-0.244585189,0.144596167,1
402,49.14236454,7.170887401,0.196817926,-1422.785006,1
403,196.4474092,7.255050226,0.730833754,3565.281494,1
404,42.10573745,5.652602431,0.620328678,-1583.301905,1
405,2426.308081,10.9566253,-0.773879816,0.000216548,1
406,244.6828948,9.554148741,-0.576737175,0.426352002,0
407,36.0394891,6.283433277,0.298085987,0.719173466,1
408,35.78832027,6.080557243,-0.21260011,252.2644468,1
409,39.75033692,4.117050281,0.266958612,-17.94876028,1
410,24.97892682,11.96352606,-0.974673006,2.420048007,1
411,24.97892682,11.96352606,-0.974673006,2.420048007,1
412,24.97892682,11.96352606,-0.974673006,2.420048007,1
413,45.0007455,4.291807616,0.755133423,-42.91459622,1
414,45.0007455,4.291807616,0.755133423,-42.91459622,1
415,45.0007455,4.291807616,0.755133423,-42.91459622,1
416,20.57194526,8.543540436,-0.62659104,1.144000074,0
417,20.57194526,8.543540436,-0.62659104,1.144000074,0
418,20.57194526,8.543540436,-0.62659104,1.144000074,0
419,13.75297774,3.47535828,-0.487959345,-71.2109828,0
420,13.75297774,3.47535828,-0.487959345,-71.2109828,0
421,13.75297774,3.47535828,-0.487959345,-71.2109828,0
422,18.75900137,9.344312005,-0.212393752,-0.168889497,0
423,18.75900137,9.344312005,-0.212393752,-0.168889497,0
424,18.75900137,9.344312005,-0.212393752,-0.168889497,0
425,331.6277749,8.963883471,-0.984497623,-0.563684655,0
426,331.6277749,8.963883471,-0.984497623,-0.563684655,0
427,331.6277749,8.963883471,-0.984497623,-0.563684655,0
428,579.155257,5.543377573,-0.427629985,-0.418146368,1
429,11.29639197,1.719524708,0.269058172,-6.166742774,0
